word,n
e,1426
lead,1425
federal,1424
talking,1424
video,1423
sweet,1422
san,1419
hate,1418
store,1418
march,1412
near,1411
officials,1408
church,1404
visit,1401
available,1400
town,1395
media,1393
fire,1390
meeting,1381
level,1380
pick,1377
spent,1375
tuesday,1375
tried,1373
girls,1372
report,1368
turned,1367
inside,1366
what's,1357
director,1356
paper,1354
starting,1354
coach,1353
tax,1352
sleep,1349
spring,1346
loved,1343
walk,1342
age,1341
wea,1341
learn,1339
space,1339
wants,1339
gonna,1333
district,1328
lives,1327
general,1326
b,1325
major,1325
works,1324
guess,1323
son,1323
ok,1320
looked,1319
west,1319
drive,1318
sense,1316
boy,1313
challenge,1313
department,1309
gone,1305
wednesday,1305
won't,1302
per,1298
understand,1297
break,1295
middle,1295
happen,1294
issue,1292
round,1291
online,1290
air,1289
takes,1289
players,1288
worked,1286
himself,1280
shot,1278
fans,1274
human,1274
father,1273
field,1273
above,1272
recently,1272
happened,1263
record,1263
tv,1263
wonderful,1263
won,1261
bed,1260
eyes,1257
star,1256
site,1253
yourself,1251
began,1247
obama,1245
rock,1245
worth,1245
strong,1243
cause,1236
simply,1236
control,1233
door,1229
sorry,1228
cost,1227
clear,1226
continue,1225
hair,1225
dinner,1223
low,1223
war,1223
picture,1222
interesting,1215
perhaps,1209
cana,1208
christmas,1207
nearly,1207
ones,1206
political,1205
seeing,1205
longer,1201
seem,1199
recent,1198
hea,1192
schools,1190
jobs,1186
issues,1185
likely,1184
ways,1184
wife,1184
energy,1181
page,1180
shows,1179
hold,1174
huge,1173
create,1171
definitely,1171
waiting,1167
oil,1166
simple,1163
questions,1160
act,1154
hands,1153
usually,1152
giving,1149
wine,1148
trip,1143
conference,1142
piece,1137
services,1137
style,1134
race,1133
lots,1132
include,1130
decision,1129
education,1128
step,1127
themselves,1127
c,1126
ohio,1125
crazy,1124
yesterday,1123
became,1122
cover,1121
plans,1120
bar,1119
co,1119
held,1118
super,1114
america,1109
funny,1108
career,1106
washington,1105
club,1101
send,1100
r,1099
return,1099
brown,1097
action,1094
earlier,1094
expected,1092
met,1092
personal,1092
sent,1091
finished,1088
goal,1086
stories,1085
fine,1076
feet,1075
form,1075
husband,1075
stand,1073
blue,1071
seven,1064
companies,1059
price,1057
weather,1057
moving,1056
received,1055
dark,1054
haven't,1053
budget,1052
offer,1052
cold,1051
entire,1050
save,1050
welcome,1049
jesus,1048
spend,1048
cannot,1046
tweet,1044
ball,1043
attention,1041
a m,1040
brought,1040
sound,1040
east,1039
facebook,1037
glad,1037
she's,1036
example,1034
n,1033
research,1033
sounds,1033
dog,1030
problems,1030
design,1028
let's,1028
provide,1028
answer,1027
email,1027
dead,1026
wrote,1026
x,1026
whatever,1025
voice,1024
table,1021
band,1020
david,1020
due,1020
mark,1015
heat,1014
knows,1014
led,1014
sun,1014
whose,1014
alone,1013
jersey,1011
united,1008
player,1006
coffee,1005
fast,1005
cleveland,1002
lunch,1002
sales,1002
sign,1001
campaign,1000
billion,997
chicago,994
moved,994
couldn't,993
character,992
daughter,992
written,992
boys,987
wonder,985
completely,984
main,983
doesna,982
current,980
fresh,980
league,976
learned,975
died,974
june,974
despite,973
training,970
non,969
view,969
staff,967
opportunity,966
difficult,964
deep,963
success,962
certain,961
paul,960
upon,960
term,957
pictures,953
fan,952
o,952
workers,952
events,951
ya,949
further,948
note,944
itself,942
loss,942
opening,940
we've,939
fight,937
extra,936
focus,936
quickly,936
higher,934
wow,934
p,933
interest,931
james,931
key,931
choice,929
exactly,929
type,929
theya,925
financial,924
date,923
private,923
website,923
cup,922
ground,922
la,922
louis,921
vote,920
bought,917
role,917
size,917
color,915
medical,915
member,915
afternoon,913
practice,913
press,911
complete,909
ideas,909
dr,908
bowl,907
california,907
track,907
busy,906
truth,906
created,905
position,904
pass,903
michael,902
chief,900
daily,900
join,900
plus,900
wall,900
stage,899
beat,898
paid,897
kept,896
student,896
released,894
forget,893
certainly,891
expect,890
sad,890
industry,889
involved,889
seemed,889
amount,888
ice,888
box,887
council,887
minute,887
football,885
security,884
changes,883
etc,883
eye,881
anyway,878
beginning,878
comment,878
we'll,877
floor,876
result,876
ahead,875
total,874
international,872
miles,871
okay,870
you'll,870
hospital,868
therea,868
below,867
drink,867
helped,867
judge,867
scene,867
figure,866
double,864
restaurant,862
seriously,862
teams,862
statement,858
development,857
force,856
eight,855
present,854
bank,853
hall,853
allow,850
test,850
begin,849
release,849
photos,848
serious,847
shop,845
pain,844
sitting,844
spending,844
listen,842
sugar,842
changed,841
chocolate,840
original,840
brother,839
gift,838
straight,838
similar,837
cream,836
winning,836
details,834
sort,834
message,832
natural,832
learning,830
born,829
dance,829
quality,829
album,828
senior,828
walking,827
economy,826
followed,826
gives,825
sister,824
evening,823
chicken,822
performance,822
portland,822
products,822
rights,820
clean,819
eating,819
economic,818
ended,818
lose,818
passed,817
interested,816
places,816
review,816
july,814
relationship,814
average,813
luck,813
situation,813
dad,812
starts,812
study,812
g,811
land,811
sit,811
k,810
sports,809
beach,808
foot,808
kid,804
rate,803
runs,803
wouldn't,803
consider,801
fell,800
title,799
quarter,798
dream,797
totally,797
defense,796
manager,796
safe,796
de,794
leaving,794
poor,791
blood,790
common,789
growing,789
kitchen,789
allowed,788
photo,788
trust,788
finish,786
data,785
image,785
mine,785
killed,784
missed,784
period,784
quick,784
characters,782
internet,782
lord,782
property,781
republican,781
taste,780
earth,776
mix,776
spot,775
fair,774
society,774
fourth,771
projects,771
reported,771
wear,771
beyond,770
tour,770
king,768
account,767
cute,767
telling,767
truly,767
driving,766
link,765
speak,765
version,765
cards,764
credit,763
technology,763
agree,762
chris,761
garden,761
effort,759
putting,759
fear,758
named,758
wanna,758
throughout,757
biggest,756
ur,756
committee,755
increase,755
sale,755
build,753
lovely,752
pieces,752
die,751
english,751
feels,751
base,750
popular,750
river,749
choose,748
included,748
reach,748
warm,748
recipe,747
executive,746
hotel,745
oregon,745
potential,744
travel,744
mostly,743
cheese,742
gas,742
planning,741
trade,740
winter,739
employees,738
ran,738
block,737
enjoyed,737
sat,736
served,735
hi,733
listening,733
absolutely,732
onto,732
peace,732
reality,731
results,731
contact,730
difference,728
previous,728
thoughts,728
tickets,728
built,727
opened,727
sold,727
wearing,727
calls,726
catch,726
hurt,726
showed,726
regular,725
items,724
bottom,721
cake,721
hearing,721
holiday,721
costs,720
lower,720
happens,719
imagine,719
safety,719
sell,719
glass,718
aren't,717
value,716
groups,715
tough,715
rules,713
filled,712
fit,711
immediately,710
interview,710
particular,710
includes,709
songs,709
weight,707
attorney,706
square,706
toward,706
text,705
announced,704
election,704
marriage,704
product,704
mention,703
author,702
rose,702
evidence,701
ability,700
agency,700
rain,700
ride,698
you've,697
dont,696
nature,696
shopping,696
faith,695
families,695
mike,695
texas,695
article,694
teacher,694
union,694
central,693
grow,693
serve,693
stopped,693
followers,692
lady,691
movies,691
tired,691
asking,690
leaders,690
library,690
policy,690
touch,690
residents,689
wasna,689
closed,687
letter,687
particularly,686
radio,686
dress,683
prices,683
teachers,683
cook,679
fat,679
currently,678
legal,677
sick,677
lake,674
meant,674
apparently,673
orange,673
risk,673
official,672
french,671
worst,671
bag,670
except,670
positive,670
lines,669
annual,667
healthy,667
cases,666
customers,666
picked,666
growth,665
keeping,665
romney,665
wedding,665
january,664
realize,664
traffic,664
smith,663
computer,662
isna,662
older,661
walked,661
worse,661
comments,660
supposed,660
unless,660
gold,659
nine,659
calling,658
latest,658
loves,658
officer,658
pop,658
related,657
drop,655
records,655
station,655
cash,654
lived,654
omg,654
rich,653
ha,652
novel,651
plays,651
numbers,649
owner,649
military,648
missing,647
proud,647
considered,646
modern,646
eventually,645
caught,643
creative,642
parts,642
various,642
kill,640
liked,639
americans,638
address,637
collection,637
gotta,637
language,637
easily,635
effect,635
hopefully,635
tea,635
none,634
officers,633
wide,631
clearly,630
finding,630
lucky,630
via,630
leading,629
terms,629
doubt,628
forever,627
los,627
watched,626
fish,625
raised,624
spirit,624
secret,623
science,622
session,622
florida,621
reports,621
smile,621
agreed,620
brain,620
bus,620
